Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
Bare_bin.254	97.9	6.98	Gradient Boost (General Model)	11	0.877	81364	375.6992397552383	6923761	0.62	5393	198	228282	None
Bare_bin.262	78.5	2.12	Gradient Boost (General Model)	11	0.924	15164	284.78155706727136	1220787	0.41	1323	118	51326	None
Bare_bin.268	96.53	0.0	Gradient Boost (General Model)	11	0.911	27744	273.0151946818614	944114	0.43	1053	46	80324	None
Bare_bin.269	94.37	0.47	Gradient Boost (General Model)	11	0.895	26107	319.9336407891366	4182865	0.48	3903	237	116695	None
Bare_bin.270	86.11	2.26	Gradient Boost (General Model)	11	0.867	6565	282.3092609915809	5209619	0.69	5345	990	35416	None
Bare_bin.273	89.18	5.71	Gradient Boost (General Model)	11	0.934	22503	311.66920393276246	3149459	0.76	3153	221	77583	None
Bare_bin.274	93.4	2.58	Gradient Boost (General Model)	11	0.889	16899	290.60354896675653	4356122	0.67	4452	368	88350	None
Bare_bin.275	99.03	0.34	Gradient Boost (General Model)	11	0.934	48115	308.23682228915663	2622981	0.64	2656	75	133354	None
Bare_bin.281	95.13	6.18	Gradient Boost (General Model)	11	0.878	6870	300.27735414080513	5771222	0.63	5639	1021	32447	None
Bare_bin.29	82.22	2.69	Gradient Boost (General Model)	11	0.95	8155	274.336131934033	2875365	0.72	3335	467	31977	None
Bare_bin.296	63.81	2.92	Neural Network (Specific Model)	11	0.924	7223	279.3660828705681	2119492	0.69	2341	347	31612	None
Bare_bin.301	94.6	2.97	Gradient Boost (General Model)	11	0.911	9532	268.5024072500708	3115204	0.66	3531	464	56921	None
Bare_bin.307	85.54	3.69	Gradient Boost (General Model)	11	0.891	5878	303.88857771554314	5104954	0.63	4999	1092	22930	None
Bare_bin.314	52.57	0.92	Gradient Boost (General Model)	11	0.893	2393	240.26083571243188	3101830	0.69	3853	1395	10540	None
Bare_bin.319	99.65	1.02	Neural Network (Specific Model)	11	0.908	132001	340.43096017927945	6512457	0.56	5801	84	305008	None
Bare_bin.321	96.69	7.25	Gradient Boost (General Model)	11	0.89	15138	336.67635632953784	8461217	0.66	7465	909	116036	None
Bare_bin.33	97.68	2.37	Gradient Boost (General Model)	11	0.874	12141	317.78233170524527	5132365	0.52	4709	600	49028	None
Bare_bin.349	72.5	2.93	Gradient Boost (General Model)	11	0.933	8922	284.86749285033363	2875431	0.76	3147	451	55549	None
Bare_bin.353	75.51	5.91	Gradient Boost (General Model)	11	0.895	4471	251.34556050737058	4902515	0.75	5834	1403	34481	None
Bare_bin.354	64.03	0.3	Gradient Boost (General Model)	11	0.937	3530	246.5074780814853	1525894	0.71	1939	487	11517	None
Bare_bin.364	89.21	4.41	Gradient Boost (General Model)	11	0.934	11128	278.9719963866305	1977174	0.72	2214	222	46355	None
Bare_bin.365	46.53	0.42	Gradient Boost (General Model)	11	0.921	9958	316.10074231177094	1938635	0.72	1886	217	37994	None
Bare_bin.372	100.0	3.88	Gradient Boost (General Model)	11	0.911	16874	319.1500948252506	3875683	0.69	3691	363	61557	None
Bare_bin.376	94.69	3.85	Gradient Boost (General Model)	11	0.947	42583	318.7078720787208	3276636	0.75	3252	110	97181	None
Bare_bin.380	95.61	10.38	Gradient Boost (General Model)	11	0.865	15777	336.5201043585021	7596194	0.67	6516	719	58104	None
Bare_bin.383	65.39	2.86	Gradient Boost (General Model)	11	0.909	3421	278.99379049676025	3406802	0.7	3704	1140	22112	None
Bare_bin.387	96.41	3.49	Gradient Boost (General Model)	11	0.884	156981	313.9744859101295	5587959	0.48	5252	53	370090	None
Bare_bin.390	49.43	0.52	Gradient Boost (General Model)	11	0.917	2128	239.54095503659812	2240370	0.63	2869	1118	8844	None
Bare_bin.392	56.33	4.37	Gradient Boost (General Model)	11	0.83	2215	234.09577527095774	3815849	0.62	4521	1818	9467	None
Bare_bin.393	82.08	2.9	Gradient Boost (General Model)	11	0.917	6963	283.95037926675093	2933447	0.71	3164	494	29791	None
Bare_bin.400	85.72	4.07	Gradient Boost (General Model)	11	0.921	8194	296.1240284974093	2973017	0.57	3088	512	33838	None
Bare_bin.404	100.0	2.65	Neural Network (Specific Model)	11	0.822	90332	325.93210815872646	10138323	0.46	8543	178	227345	None
Bare_bin.412	44.06	1.26	Gradient Boost (General Model)	11	0.937	2977	268.3219390926041	1379456	0.53	1609	506	9237	None
Bare_bin.413	92.41	3.34	Gradient Boost (General Model)	11	0.831	8819	286.77435697583786	5303500	0.74	5132	853	47345	None
Bare_bin.421	96.55	0.77	Gradient Boost (General Model)	11	0.937	140873	308.6551215917465	1337500	0.43	1357	16	297977	None
Bare_bin.423	45.4	0.25	Gradient Boost (General Model)	11	0.869	3109	251.98363750786658	2757850	0.66	3178	947	13411	None
Bare_bin.424	94.87	0.61	Gradient Boost (General Model)	11	0.937	47337	310.07576358587863	2495641	0.69	2521	108	111183	None
Bare_bin.425	96.29	0.88	Gradient Boost (General Model)	11	0.903	549035	341.9496162829496	3403002	0.53	2997	15	854513	None
Bare_bin.427	95.63	0.69	Neural Network (Specific Model)	11	0.927	25817	345.22578125	7133285	0.63	6400	423	100329	None
Bare_bin.428	66.29	3.05	Gradient Boost (General Model)	11	0.954	9328	290.982330204307	3301998	0.76	3622	464	38382	None
Bare_bin.429	60.72	5.01	Neural Network (Specific Model)	11	0.907	2780	241.1968896713615	2712453	0.68	3408	1016	11333	None
Bare_bin.43	83.09	3.17	Gradient Boost (General Model)	11	0.944	4403	302.7133354450428	6059785	0.73	6314	1562	18002	None
Bare_bin.432	56.04	5.25	Gradient Boost (General Model)	11	0.895	2502	264.1514953067016	4050533	0.7	4581	1636	10279	None
Bare_bin.433	55.7	8.1	Gradient Boost (General Model)	11	0.904	2806	249.1980021405637	2310629	0.7	2803	862	12421	None
Bare_bin.443	58.71	2.52	Neural Network (Specific Model)	11	0.863	4270	236.35220328079768	2547405	0.57	3109	658	15254	None
Bare_bin.449	57.39	5.4	Gradient Boost (General Model)	11	0.917	2888	266.9489593657086	3519027	0.69	4036	1253	27466	None
Bare_bin.452	58.7	5.13	Gradient Boost (General Model)	11	0.939	3267	248.23411122144987	3185060	0.72	4028	1050	15042	None
Bare_bin.453	86.47	4.76	Gradient Boost (General Model)	11	0.924	4015	244.61980830670927	990095	0.44	1252	293	18386	None
Bare_bin.454	48.55	2.46	Neural Network (Specific Model)	11	0.904	2676	242.14349608647038	2150109	0.64	2683	818	10787	None
Bare_bin.456	66.56	1.2	Gradient Boost (General Model)	11	0.91	4325	234.35404339250493	780274	0.45	1014	212	13729	None
Bare_bin.48	76.55	0.37	Gradient Boost (General Model)	11	0.873	7899	268.7197834074647	4767218	0.49	5171	719	30273	None
Bare_bin.49	92.17	1.43	Gradient Boost (General Model)	11	0.933	10748	309.0770300333704	3564224	0.68	3596	476	42613	None
Bare_bin.52	58.61	0.6	Neural Network (Specific Model)	11	0.918	5528	262.3692077727952	1716893	0.68	2007	369	36470	None
Bare_bin.66	55.35	2.73	Gradient Boost (General Model)	11	0.922	2005	242.4147442326981	1570894	0.71	1994	833	6530	None
Bare_bin.67	92.85	1.19	Gradient Boost (General Model)	11	0.939	17229	295.9362980769231	2354802	0.65	2496	234	79797	None
Bare_bin.69	71.71	0.38	Gradient Boost (General Model)	11	0.924	7371	261.03225806451616	576991	0.48	682	88	28850	None
Bare_bin.76	70.8	4.17	Neural Network (Specific Model)	11	0.915	4427	260.433166547534	2383091	0.68	2798	616	25349	None
Bare_bin.77	97.89	0.96	Gradient Boost (General Model)	11	0.873	15897	337.7032845095428	5226568	0.41	4506	468	84028	None
Bare_bin.78	64.81	4.31	Neural Network (Specific Model)	11	0.844	3867	223.1313337877755	3482939	0.63	4401	1001	22422	None
Bare_bin.89	85.19	0.4	Gradient Boost (General Model)	11	0.907	6558	302.06130500758724	6573009	0.66	6590	1261	28940	None
Crust_bin.104	100.0	0.44	Gradient Boost (General Model)	11	0.953	458269	284.4156479217604	729427	0.39	818	16	458269	None
Crust_bin.119	66.52	1.83	Gradient Boost (General Model)	11	0.9	3846	290.61130820399114	4362086	0.62	4510	1245	14722	None
Crust_bin.131	84.73	2.79	Gradient Boost (General Model)	11	0.934	9519	282.7523775977457	2572754	0.71	2839	383	42885	None
Crust_bin.138	77.75	4.67	Gradient Boost (General Model)	11	0.932	4172	252.9890153001177	2070840	0.68	2549	573	16979	None
Crust_bin.14	98.76	3.0	Gradient Boost (General Model)	11	0.925	22462	334.4025222551929	7288254	0.63	6740	682	108706	None
Crust_bin.146	91.62	3.55	Gradient Boost (General Model)	11	0.905	10537	264.42097095987583	3946278	0.65	4511	700	51450	None
Crust_bin.152	97.24	0.1	Gradient Boost (General Model)	11	0.932	65479	333.2462093862816	2966233	0.56	2770	68	205361	None
Crust_bin.162	94.47	5.61	Gradient Boost (General Model)	11	0.894	4471	282.42370524852277	5447579	0.68	5754	1517	17944	None
Crust_bin.166	87.71	1.13	Gradient Boost (General Model)	11	0.933	18963	328.5048717948718	4111905	0.67	3900	321	113135	None
Crust_bin.168	87.36	0.83	Gradient Boost (General Model)	11	0.908	16310	298.85530546623795	3983332	0.75	4043	361	103209	None
Crust_bin.171	92.07	0.12	Gradient Boost (General Model)	11	0.911	25112	269.5048231511254	826511	0.44	933	48	50727	None
Crust_bin.173	96.69	7.78	Gradient Boost (General Model)	11	0.919	59373	312.37295260182634	7018525	0.71	6899	230	152849	None
Crust_bin.180	100.0	1.12	Neural Network (Specific Model)	11	0.832	80351	309.36610260542574	8290236	0.47	7446	191	236090	None
Crust_bin.182	91.22	11.16	Gradient Boost (General Model)	11	0.879	21208	275.89883810999225	6067885	0.69	6455	450	149342	None
Crust_bin.193	100.0	3.07	Neural Network (Specific Model)	11	0.841	24486	307.81907628197706	9475995	0.41	8639	640	150234	None
Crust_bin.194	71.11	0.45	Gradient Boost (General Model)	11	0.922	4012	275.86354378818737	2641414	0.39	2946	788	27944	None
Crust_bin.200	69.98	2.96	Gradient Boost (General Model)	11	0.925	4504	258.54454382826475	2338472	0.67	2795	620	22590	None
Crust_bin.207	56.21	2.4	Gradient Boost (General Model)	11	0.931	2728	237.95841121495326	1634728	0.75	2140	613	8488	None
Crust_bin.214	89.64	5.93	Gradient Boost (General Model)	11	0.905	8385	275.3890288815662	4698587	0.7	5159	756	41881	None
Crust_bin.215	73.6	5.07	Gradient Boost (General Model)	11	0.883	2511	233.37114507910968	5900094	0.57	7458	2560	25172	None
Crust_bin.217	91.27	4.66	Gradient Boost (General Model)	11	0.945	11069	299.74415793714746	4709165	0.72	4964	604	57973	None
Crust_bin.220	80.57	0.51	Gradient Boost (General Model)	11	0.856	5523	276.579744439186	4089998	0.65	4226	916	26607	None
Crust_bin.221	93.35	1.54	Gradient Boost (General Model)	11	0.932	19412	308.9488730071468	3607482	0.66	3638	262	133788	None
Crust_bin.222	100.0	1.94	Gradient Boost (General Model)	11	0.948	20131	301.53809995051955	3842948	0.76	4042	288	63389	None
Crust_bin.237	61.77	4.16	Gradient Boost (General Model)	11	0.942	6227	270.3369464230412	2772769	0.71	3229	562	47639	None
Crust_bin.239	88.01	5.35	Gradient Boost (General Model)	11	0.922	10186	292.5345753078623	3007095	0.57	3167	425	101505	None
Crust_bin.245	68.77	2.32	Gradient Boost (General Model)	11	0.94	2808	242.9112408759124	2645334	0.73	3425	968	24102	None
Crust_bin.247	83.1	7.15	Neural Network (Specific Model)	11	0.923	7961	276.24754098360654	2731699	0.7	3050	465	38365	None
Crust_bin.256	99.59	3.15	Gradient Boost (General Model)	11	0.91	28407	309.50586766541824	4076674	0.71	4005	239	92448	None
Crust_bin.259	76.38	3.15	Gradient Boost (General Model)	11	0.89	3242	250.34410234171725	3878807	0.58	4612	1444	13311	None
Crust_bin.261	93.03	2.25	Neural Network (Specific Model)	11	0.908	19242	292.0017441860465	3312474	0.7	3440	237	74097	None
Crust_bin.266	61.78	2.03	Gradient Boost (General Model)	11	0.89	3201	242.13730182470835	2724311	0.68	3343	888	11200	None
Crust_bin.270	84.44	0.32	Gradient Boost (General Model)	11	0.889	6348	270.8532679738562	2791399	0.71	3060	551	51095	None
Crust_bin.276	65.5	1.34	Gradient Boost (General Model)	11	0.888	3461	292.32403918613414	5232705	0.71	5308	1647	44532	None
Crust_bin.282	73.02	4.5	Gradient Boost (General Model)	11	0.942	6576	260.67713841368584	2658754	0.7	3215	510	26664	None
Crust_bin.29	98.24	0.02	Gradient Boost (General Model)	11	0.947	43966	283.7809139784946	666447	0.37	744	32	114893	None
Crust_bin.299	60.23	2.97	Gradient Boost (General Model)	11	0.927	3169	251.27615417196102	1915751	0.72	2361	652	17469	None
Crust_bin.300	62.6	1.61	Gradient Boost (General Model)	11	0.941	2082	245.8585956416465	3228345	0.65	4130	1659	8865	None
Crust_bin.304	83.31	5.28	Gradient Boost (General Model)	11	0.866	3723	248.89910729324575	5108622	0.55	5937	1644	22006	None
Crust_bin.31	94.52	6.16	Gradient Boost (General Model)	11	0.927	9774	312.4591093117409	3737666	0.64	3705	554	47006	None
Crust_bin.310	96.99	4.69	Gradient Boost (General Model)	11	0.894	106360	347.79892930247206	7398647	0.62	6351	109	259013	None
Crust_bin.314	58.49	1.23	Gradient Boost (General Model)	11	0.908	4133	250.42342342342343	2107678	0.69	2553	564	13164	None
Crust_bin.315	98.71	0.0	Gradient Boost (General Model)	11	0.921	35269	270.50602409638554	656809	0.49	747	27	78235	None
Crust_bin.318	86.34	3.33	Gradient Boost (General Model)	11	0.943	5960	268.3035812672176	1545846	0.71	1815	322	25330	None
Crust_bin.32	83.87	6.65	Gradient Boost (General Model)	11	0.904	5305	253.8085808580858	3304898	0.71	3939	741	29723	None
Crust_bin.324	86.16	9.18	Gradient Boost (General Model)	11	0.925	7810	264.32809179770504	2011962	0.65	2353	347	59850	None
Crust_bin.33	94.6	0.52	Gradient Boost (General Model)	11	0.933	14985	269.8496905393457	978481	0.36	1131	101	55844	None
Crust_bin.340	95.16	0.83	Gradient Boost (General Model)	11	0.89	194445	343.04965357967666	4000089	0.55	3464	26	417224	None
Crust_bin.344	66.95	5.24	Gradient Boost (General Model)	11	0.872	2435	239.29992169146436	5246183	0.68	6385	2367	10510	None
Crust_bin.348	85.73	10.13	Gradient Boost (General Model)	11	0.919	2567	233.56080735820132	2974801	0.68	3914	1287	30785	None
Crust_bin.360	45.71	1.03	Gradient Boost (General Model)	11	0.938	2919	237.75409836065575	2357950	0.7	3111	846	11596	None
Crust_bin.361	98.72	0.61	Gradient Boost (General Model)	11	0.928	178221	341.3522145224465	3654033	0.64	3319	37	365130	None
Crust_bin.362	100.0	0.86	Gradient Boost (General Model)	11	0.945	43605	359.1699975921021	4725399	0.68	4153	170	174387	None
Crust_bin.372	89.11	5.88	Gradient Boost (General Model)	11	0.886	6995	301.8475801382778	6493607	0.7	6364	1176	37433	None
Crust_bin.376	88.75	4.59	Gradient Boost (General Model)	11	0.944	4349	261.1331403762663	3434028	0.73	4146	900	17122	None
Crust_bin.379	70.3	0.92	Neural Network (Specific Model)	11	0.924	6298	252.65793528505392	530656	0.48	649	113	22343	None
Crust_bin.381	85.12	2.21	Gradient Boost (General Model)	11	0.948	5273	308.2076404494382	4330288	0.61	4450	959	21229	None
Crust_bin.382	64.17	1.99	Gradient Boost (General Model)	11	0.926	2357	231.754432289702	1984496	0.55	2651	907	11438	None
Crust_bin.392	49.86	1.52	Gradient Boost (General Model)	11	0.893	1612	202.40941352259992	1815970	0.53	2677	1113	6588	None
Crust_bin.393	84.58	3.43	Gradient Boost (General Model)	11	0.876	14401	276.2288486005089	5938430	0.49	6288	643	64752	None
Crust_bin.396	77.76	0.74	Gradient Boost (General Model)	11	0.91	4926	281.88073038073037	4772757	0.56	5148	1144	24173	None
Crust_bin.4	91.52	4.68	Gradient Boost (General Model)	11	0.889	8867	304.7899880335062	5148775	0.65	5014	884	81199	None
Crust_bin.408	97.73	0.75	Gradient Boost (General Model)	11	0.918	88658	356.6460688929792	4424450	0.47	3803	78	245903	None
Crust_bin.409	97.39	4.62	Gradient Boost (General Model)	11	0.903	31067	332.8152496626181	8180196	0.57	7410	396	178915	None
Crust_bin.41	60.24	2.27	Gradient Boost (General Model)	11	0.921	4007	253.5844537815126	1958431	0.38	2380	531	12410	None
Crust_bin.416	93.4	3.14	Gradient Boost (General Model)	11	0.876	5598	247.86522741563613	4041807	0.54	4771	982	68370	None
Crust_bin.418	72.93	1.44	Gradient Boost (General Model)	11	0.903	4963	269.10225979515525	5487196	0.57	6151	1304	19973	None
Crust_bin.422	89.65	0.64	Neural Network (Specific Model)	11	0.919	53613	314.7585398526457	3062761	0.67	2986	93	204554	None
Crust_bin.423	94.7	7.97	Gradient Boost (General Model)	11	0.898	41277	326.44308643793255	7389118	0.51	6791	383	152932	None
Crust_bin.43	75.6	5.78	Gradient Boost (General Model)	11	0.836	4028	223.21213524779992	3449822	0.63	4318	951	21459	None
Crust_bin.431	90.43	0.92	Gradient Boost (General Model)	11	0.925	14408	319.8342819614711	4723542	0.68	4568	495	57192	None
Crust_bin.433	51.57	3.21	Gradient Boost (General Model)	11	0.952	2647	237.95052590572652	1918826	0.73	2567	744	8355	None
Crust_bin.447	85.34	0.13	Gradient Boost (General Model)	11	0.925	11207	283.70245139475907	2169448	0.76	2366	236	41344	None
Crust_bin.452	81.35	7.42	Gradient Boost (General Model)	11	0.895	10287	302.2209369577791	5246700	0.62	5187	761	65463	None
Crust_bin.454	55.55	0.77	Gradient Boost (General Model)	11	0.89	5618	266.86702365015617	2012853	0.69	2241	434	20059	None
Crust_bin.51	76.25	1.38	Gradient Boost (General Model)	11	0.915	5268	260.3408897704732	3006169	0.64	3529	699	21380	None
Crust_bin.53	83.92	7.59	Gradient Boost (General Model)	11	0.928	13431	287.2079701120797	2973156	0.76	3212	302	46522	None
Crust_bin.54	73.7	5.4	Gradient Boost (General Model)	11	0.921	4973	259.2820127675554	2242873	0.76	2663	522	20438	None
Crust_bin.60	96.03	1.65	Neural Network (Specific Model)	11	0.913	29583	288.2831230283912	2395443	0.67	2536	136	85570	None
Crust_bin.72	84.48	4.13	Neural Network (Specific Model)	11	0.864	7139	301.8797853828306	7221032	0.43	6896	1235	41997	None
Crust_bin.80	46.82	0.44	Gradient Boost (General Model)	11	0.923	2982	241.8165577342048	1799241	0.69	2295	613	12967	None
Crust_bin.81	63.07	1.87	Gradient Boost (General Model)	11	0.928	2961	245.0367231638418	2237961	0.56	2832	872	13800	None
Crust_bin.82	75.58	3.57	Gradient Boost (General Model)	11	0.958	3905	252.60755003800355	3108857	0.69	3947	904	19855	None
Crust_bin.84	71.09	6.49	Gradient Boost (General Model)	11	0.942	13629	279.30407523510974	2545089	0.73	2871	291	64441	None
Crust_bin.9	52.21	8.71	Gradient Boost (General Model)	11	0.836	1979	214.0238596491228	3276091	0.61	4275	1741	11454	None
Crust_bin.95	56.73	7.91	Gradient Boost (General Model)	11	0.946	2606	227.10861423220973	1722612	0.72	2403	669	9608	None
Crust_bin.96	61.67	10.08	Gradient Boost (General Model)	11	0.905	2593	228.2953945438545	2573660	0.67	3409	1055	86098	None
Moss_bin.105	99.7	5.38	Gradient Boost (General Model)	11	0.892	24800	321.4778804886101	6539070	0.61	6058	425	100997	None
Moss_bin.116	99.97	0.79	Neural Network (Specific Model)	11	0.913	184112	309.423163298043	3163912	0.61	3117	24	575649	None
Moss_bin.121	90.84	5.68	Gradient Boost (General Model)	11	0.894	7297	308.5394392523364	5530743	0.68	5350	982	34718	None
Moss_bin.122	88.39	1.82	Neural Network (Specific Model)	11	0.9	7955	283.0480769230769	4115182	0.71	4368	690	39874	None
Moss_bin.128	95.76	0.57	Gradient Boost (General Model)	11	0.884	140107	315.386985645933	5584887	0.48	5225	67	364544	None
Moss_bin.133	100.0	1.26	Gradient Boost (General Model)	11	0.943	13066	271.8984438984439	1052054	0.37	1221	124	54370	None
Moss_bin.140	92.78	1.7	Gradient Boost (General Model)	11	0.898	5756	278.50748337028824	3349843	0.75	3608	784	28408	None
Moss_bin.142	97.23	0.31	Gradient Boost (General Model)	11	0.918	28277	300.58496240601505	3913545	0.68	3990	218	138336	None
Moss_bin.144	99.98	2.48	Neural Network (Specific Model)	11	0.921	92041	353.1566918001885	4875169	0.47	4244	89	336604	None
Moss_bin.145	100.0	5.17	Neural Network (Specific Model)	11	0.837	115738	317.0057511737089	9663515	0.41	8520	148	483767	None
Moss_bin.148	96.61	2.35	Gradient Boost (General Model)	11	0.915	12339	293.4913043478261	3091269	0.69	3220	358	64641	None
Moss_bin.149	54.97	5.08	Gradient Boost (General Model)	11	0.913	2422	223.02641135688347	2216542	0.63	3029	996	7954	None
Moss_bin.15	54.81	2.45	Gradient Boost (General Model)	11	0.946	4036	257.5790909090909	1792816	0.71	2200	513	29066	None
Moss_bin.169	92.1	3.3	Gradient Boost (General Model)	11	0.897	8211	262.0372881355932	3096168	0.67	3540	539	33867	None
Moss_bin.17	85.28	3.09	Gradient Boost (General Model)	11	0.94	6593	265.52609603340295	1620128	0.71	1916	325	57687	None
Moss_bin.172	74.06	3.04	Gradient Boost (General Model)	11	0.878	7184	269.5192039800995	4619597	0.5	5025	841	43826	None
Moss_bin.173	77.5	3.02	Gradient Boost (General Model)	11	0.882	5912	307.32633279483036	5817166	0.66	5571	1210	29391	None
Moss_bin.174	75.2	1.54	Gradient Boost (General Model)	11	0.905	5189	262.32815140250085	2568119	0.67	2959	572	22530	None
Moss_bin.175	82.43	3.32	Gradient Boost (General Model)	11	0.925	4960	261.41417673235856	2662065	0.7	3146	621	21966	None
Moss_bin.2	98.96	2.42	Gradient Boost (General Model)	11	0.92	24260	292.89460154241647	3336954	0.68	3501	209	125050	None
Moss_bin.200	97.38	0.59	Gradient Boost (General Model)	11	0.915	126673	354.3957666748708	4713717	0.47	4063	79	607178	None
Moss_bin.202	99.99	0.08	Neural Network (Specific Model)	11	0.935	76321	322.2410814870447	2745791	0.67	2663	52	233018	None
Moss_bin.205	76.72	5.56	Gradient Boost (General Model)	11	0.939	17496	284.5077619663648	2802112	0.73	3092	231	90365	None
Moss_bin.208	59.98	2.06	Gradient Boost (General Model)	11	0.914	3186	253.89583333333334	2153801	0.73	2592	720	13135	None
Moss_bin.210	76.33	0.89	Neural Network (Specific Model)	11	0.884	6204	282.3155625245002	2440874	0.7	2551	486	20276	None
Moss_bin.212	100.0	1.24	Gradient Boost (General Model)	11	0.867	25655	337.33675986842104	5674861	0.41	4864	376	89222	None
Moss_bin.215	78.46	0.24	Gradient Boost (General Model)	11	0.928	7481	252.68091603053435	532826	0.53	655	76	24029	None
Moss_bin.216	80.29	5.43	Gradient Boost (General Model)	11	0.925	6040	276.9971766366684	5081479	0.75	5667	1031	110814	None
