SampleID,Sample_code,Type,Slope,Location,MossCoverage,Biocrust,WaterContent,C_N,OC,TN,pH,Shannon_Diversity,MAG_Shannon
S16_6WB,BS5562_045,Bare,West,L5,0,0,7.080307561,10.70878775,1.02119,0.09536,8.6,5.195976522,1.873983495
S17_6WC,BS5562_006,Biocrust,West,L5,0,70,2.942442945,14.332211,1.4047,0.09801,8.67,5.355126912,2.118154553
S18_6WM,BS5562_004,Moss,West,L5,90,20,10.77569363,29.49071125,3.33363,0.11304,8.35,3.132747662,2.305171613
S19_1CB,BS5562_016,Bare,Center,L1,0,0,4.901156965,17.37452552,0.41195,0.02371,8.55,5.629788065,2.199479339
S20_1CC,BS5562_010,Biocrust,Center,L1,0,65,5.280046674,42.81602855,1.31959,0.03082,8.57,5.001874397,2.322655174
S21_1CM,BS5562_011,Moss,Center,L1,10,10,6.927144009,24.77256944,1.71228,0.06912,8.5,5.766092487,1.93958952
S22_2CB,BS5562_009,Bare,Center,L2,0,0,1.546063118,21.12903226,0.38645,0.01829,8.75,5.631786051,1.811038328
S23_2CC,BS5562_008,Biocrust,Center,L2,10,90,7.652859961,21.80979735,2.73364,0.12534,8.62,5.267221038,2.188275345
S24_2CM,BS5562_007,Moss,Center,L2,50,40,7.696428571,19.1601587,0.91758,0.04789,8.6,5.357264919,2.199262535
S25_3CB,BS5562_040,Bare,Center,L3,0,0,2.00845666,26.23900879,0.6565,0.02502,8.75,5.478928341,2.075962966
S26_3CC,BS5562_034,Biocrust,Center,L3,10,70,9.603960396,26.40305768,4.55928,0.17268,8.72,5.366762667,1.897442868
S27_3CM,BS5562_033,Moss,Center,L3,10,60,9.87698987,28.51833437,2.2943,0.08045,8.65,5.596668021,2.185950845
S28_4CB,BS5562_041,Bare,Center,L4,0,0,2.601713889,16.38685907,0.53372,0.03257,8.82,4.211696319,1.966673584
S29_4CC,BS5562_036,Biocrust,Center,L4,10,65,9.170715077,22.25831486,0.80308,0.03608,8.62,5.189300278,2.128332184
S30_4CM,BS5562_032,Moss,Center,L4,10,40,8.964719491,15.84013326,3.28065,0.20711,8.61,5.681695359,2.209131105
S31_5CB,BS5562_037,Bare,Center,L5,0,0,1.946685374,26.61548822,0.39524,0.01485,9.1,5.607352316,1.81921928
S32_5CC,BS5562_002,Biocrust,Center,L5,10,90,11.32292523,20.23973272,1.24191,0.06136,8.93,5.200944685,1.964754778
S33_5CM,BS5562_039,Moss,Center,L5,50,80,8.300330033,20.51603413,1.39468,0.06798,8.87,5.461576617,2.007257096
S34_6CB,BS5562_035,Bare,Center,L5,0,0,2.982925324,20.46128883,0.44135,0.02157,8.65,5.688507257,1.910193806
S35_6CC,BS5562_038,Biocrust,Center,L5,10,100,7.534577812,16.94536817,1.14144,0.06736,8.42,5.262912886,2.018292317
S36_6CM,BS5562_059,Moss,Center,L5,50,40,21.3969814,21.73660357,1.63068,0.07502,7.59,5.249140289,1.998764876
S37_1EB,BS5562_052,Bare,East,L1,0,0,1.874320141,24.64183764,0.55247,0.02242,7.76,5.631043715,2.308866377
S38_1EC,BS5562_017,Biocrust,East,L1,10,60,9.509420547,16.47462753,1.47069,0.08927,8.01,5.358406228,1.882743014
S39_1EM,BS5562_029,Moss,East,L1,50,30,26.35366201,19.27842402,1.02754,0.0533,7.99,5.556167578,2.203239875
S40_2EB,BS5562_027,Bare,East,L2,0,0,5.846564772,11.16132305,0.55003,0.04928,8.13,5.259569283,2.3620648
S41_2EC,BS5562_028,Biocrust,East,L2,10,50,8.203125,22.00702946,2.78631,0.12661,8.29,5.081296569,2.408089153
S42_2EM,BS5562_026,Moss,East,L2,50,30,0.6826742,16.96450617,1.31916,0.07776,8.17,5.515823089,2.271869833
S43_3EB,BS5562_025,Bare,East,L3,0,0,4.46084724,18.88909036,0.62504,0.03309,8.77,5.691929569,2.334479647
S44_3EC,BS5562_013,Biocrust,East,L3,10,70,3.004190055,25.30461923,3.85111,0.15219,8.47,5.554701747,2.30202011
S45_3EM,BS5562_022,Moss,East,L3,50,65,8.225696805,21.80077016,4.52911,0.20775,8.26,5.247048463,2.482299104
S46_4EB,BS5562_015,Bare,East,L4,0,0,1.660925197,15.05556922,0.61231,0.04067,8.68,5.724744992,2.356779469
S47_4EC,BS5562_021,Biocrust,East,L4,0,90,3.162598831,23.04645884,1.52291,0.06608,8.63,5.032773701,2.224250174
S48_4EM,BS5562_014,Moss,East,L4,10,30,7.17264387,27.04857886,8.73615,0.32298,8.84,5.269721451,2.462277858
S49_5EB,BS5562_019,Bare,East,L5,0,0,2.210433245,7.939859609,0.41851,0.05271,8.84,5.559368815,2.084997571
S50_5EC,BS5562_020,Biocrust,East,L5,0,90,2.053678918,14.98227793,1.38646,0.09254,8.72,4.755894919,2.359274773
S51_5EM,BS5562_018,Moss,East,L5,10,80,2.097042447,69.31408271,3.80465,0.05489,8.82,5.65087994,2.199960312
S52_6EB,BS5562_023,Bare,East,L5,0,0,2.765702294,18.945284,0.36356,0.01919,8.89,5.762190488,2.193131035
S53_6EC,BS5562_044,Biocrust,East,L5,10,90,6.572329725,17.32747617,2.09056,0.12065,8.52,5.576787144,1.963231803
S54_6EM,BS5562_031,Moss,East,L5,50,70,10.50800278,19.37488698,1.71429,0.08848,8.52,5.474683975,2.281692241
