Final_name,FeatureID,Annotation_Confidence,Final_formula,KEGG_id,KEGG_name,KEGG_formula,KEGG_pathway
[Similar to: Prostaglandin F2α; ΔMass: -44.0261 Da],1.171_310.21456_HILIC,L3,C18H30O4,NA,NA,NA,NA
"[Similar to: α,α-Trehalose; ΔMass: 0.0003 Da]",12.261_342.11649_HILIC,L3,C12H22O11,NA,NA,NA,NA
"1-(3-Cyanophenyl)-3-({(2R,4S,5S)-5-[(4-phenyl-1-piperazinyl)methyl]-1-azabicyclo[2.2.2]oct-2-yl}methyl)urea",1.645_458.28826_HILIC,L3,C27H34N6O,NA,NA,NA,NA
"1-(3-Cyanophenyl)-3-{[(2R,4S,5S)-5-{[4-(4-fluorophenyl)-1-piperazinyl]methyl}-1-azabicyclo[2.2.2]oct-2-yl]methyl}urea",1.195_476.26898_HILIC,L2,C27H33FN6O,NA,NA,NA,NA
1-(Carboxymethyl)cyclohexanecarboxylic acid,1.562_186.08925_HILIC,L2,C9H14O4,NA,NA,NA,NA
1-Methylxanthine,11.209_166.04765_HILIC,L3,C6H6N4O2,cpd:C16358,1-Methylxanthine,C6H6N4O2,Caffeine metabolism
1-Methylxanthine,11.209_166.04765_HILIC,L3,C6H6N4O2,cpd:C16358,1-Methylxanthine,C6H6N4O2,Metabolic pathways
1-Methylxanthine,11.209_166.04765_HILIC,L3,C6H6N4O2,cpd:C16358,1-Methylxanthine,C6H6N4O2,Biosynthesis of secondary metabolites
1-Methylxanthine,11.209_166.04765_HILIC,L3,C6H6N4O2,cpd:C16358,1-Methylxanthine,C6H6N4O2,Microbial metabolism in diverse environments
1-Methylxanthine,12.059_166.04766_HILIC,L3,C6H6N4O2,cpd:C16358,1-Methylxanthine,C6H6N4O2,Caffeine metabolism
1-Methylxanthine,12.059_166.04766_HILIC,L3,C6H6N4O2,cpd:C16358,1-Methylxanthine,C6H6N4O2,Metabolic pathways
1-Methylxanthine,12.059_166.04766_HILIC,L3,C6H6N4O2,cpd:C16358,1-Methylxanthine,C6H6N4O2,Biosynthesis of secondary metabolites
1-Methylxanthine,12.059_166.04766_HILIC,L3,C6H6N4O2,cpd:C16358,1-Methylxanthine,C6H6N4O2,Microbial metabolism in diverse environments
10-keto palmitic acid,1.176_270.2196_HILIC,L3,C16H30O3,NA,NA,NA,NA
10-undecynoate,1.348_182.13068_HILIC,L3,C11H18O2,NA,NA,NA,NA
11-Dehydro thromboxane B2,1.677_368.2202_HILIC,L2,C20H32O6,cpd:C05964,11-Dehydro-thromboxane B2,C20H32O6,Arachidonic acid metabolism
11-Dehydro thromboxane B2,1.677_368.2202_HILIC,L2,C20H32O6,cpd:C05964,11-Dehydro-thromboxane B2,C20H32O6,Metabolic pathways
11-Dehydro thromboxane B2,1.677_368.2202_HILIC,L2,C20H32O6,cpd:C05964,11-Dehydro-thromboxane B2,C20H32O6,Serotonergic synapse
12-Oxo phytodienoic acid,1.152_292.204_HILIC,L2,C18H28O3,cpd:C01226,"(9S,13S,15Z)-12-Oxophyto-10,15-dienoate;12-OPDA;(15Z)-12-Oxophyto-10,15-dienoate;(15Z)-12-Oxophyto-10,15-dienoic acid;9(S),13(S)-12-Oxo-PDA;12-Oxo-10,15(Z)-phytodienoic acid;(9S,13S)-12-Oxophytodienoate;(9S,13S)-OPDA",C18H28O3,alpha-Linolenic acid metabolism
12-Oxo phytodienoic acid,1.152_292.204_HILIC,L2,C18H28O3,cpd:C01226,"(9S,13S,15Z)-12-Oxophyto-10,15-dienoate;12-OPDA;(15Z)-12-Oxophyto-10,15-dienoate;(15Z)-12-Oxophyto-10,15-dienoic acid;9(S),13(S)-12-Oxo-PDA;12-Oxo-10,15(Z)-phytodienoic acid;(9S,13S)-12-Oxophytodienoate;(9S,13S)-OPDA",C18H28O3,Metabolic pathways
12-Oxo phytodienoic acid,1.152_292.204_HILIC,L2,C18H28O3,cpd:C01226,"(9S,13S,15Z)-12-Oxophyto-10,15-dienoate;12-OPDA;(15Z)-12-Oxophyto-10,15-dienoate;(15Z)-12-Oxophyto-10,15-dienoic acid;9(S),13(S)-12-Oxo-PDA;12-Oxo-10,15(Z)-phytodienoic acid;(9S,13S)-12-Oxophytodienoate;(9S,13S)-OPDA",C18H28O3,Biosynthesis of secondary metabolites
13(S)-HOTrE,1.138_294.21958_HILIC,L2,C18H30O3,cpd:C16316,"13(S)-HOT;(9Z,11E,15Z)-(13S)-Hydroxyoctadeca-9,11,15-trienoate;(9Z,11E,15Z)-(13S)-13-Hydroxyoctadeca-9,11,15-trienoic acid;(9Z,11E,13S,15Z)-13-Hydroxyoctadeca-9,11,15-trienoic acid;13(S)-HOTrE",C18H30O3,alpha-Linolenic acid metabolism
13(S)-HpOTrE,1.368_292.20739_HILIC,L2,C18H30O4,cpd:C04785,"13(S)-HPOT;(9Z,11E,15Z)-(13S)-Hydroperoxyoctadeca-9,11,15-trienoate;(9Z,11E,15Z)-(13S)-13-Hydroperoxyoctadeca-9,11,15-trienoic acid;13(S)-HpOTrE;13-HPOT",C18H30O4,alpha-Linolenic acid metabolism
13(S)-HpOTrE,1.368_292.20739_HILIC,L2,C18H30O4,cpd:C04785,"13(S)-HPOT;(9Z,11E,15Z)-(13S)-Hydroperoxyoctadeca-9,11,15-trienoate;(9Z,11E,15Z)-(13S)-13-Hydroperoxyoctadeca-9,11,15-trienoic acid;13(S)-HpOTrE;13-HPOT",C18H30O4,Metabolic pathways
13(S)-HpOTrE,1.368_292.20739_HILIC,L2,C18H30O4,cpd:C04785,"13(S)-HPOT;(9Z,11E,15Z)-(13S)-Hydroperoxyoctadeca-9,11,15-trienoate;(9Z,11E,15Z)-(13S)-13-Hydroperoxyoctadeca-9,11,15-trienoic acid;13(S)-HpOTrE;13-HPOT",C18H30O4,Biosynthesis of secondary metabolites
13(S)-Hydroperoxylinolenic acid,1.452_310.2146_HILIC,L3,C18H30O4,NA,NA,NA,NA
"13,14-dihydro-15-keto-tetranor Prostaglandin F1β",1.54_300.19383_HILIC,L2,C16H28O5,NA,NA,NA,NA
"13,14-dihydro Prostaglandin F1?",1.191_358.2725_HILIC,L2,C20H38O5,NA,NA,NA,NA
"15-hydroperoxyicosa-11,13-dienoic acid",1.143_340.26162_HILIC,L3,C20H36O4,NA,NA,NA,NA
16-Hydroxyhexadecanoic acid,1.281_272.23525_HILIC,L2,C16H32O3,cpd:C18218,16-Hydroxypalmitate;16-Hydroxypalmitic acid;16-Hydroxyhexadecanoic acid;Juniperic acid,C16H32O3,"Cutin, suberine and wax biosynthesis"
16-Hydroxyhexadecanoic acid,1.281_272.23525_HILIC,L2,C16H32O3,cpd:C18218,16-Hydroxypalmitate;16-Hydroxypalmitic acid;16-Hydroxyhexadecanoic acid;Juniperic acid,C16H32O3,Metabolic pathways
19-Hydroxy-PGF,1.421_370.23587_HILIC,L3,C20H34O6,NA,NA,NA,NA
19(R)-Hydroxy prostaglandin F1α,1.431_372.25154_HILIC,L2,C20H36O6,NA,NA,NA,NA
19(R)-Hydroxy prostaglandin F2α,1.678_370.23579_HILIC,L2,C20H34O6,NA,NA,NA,NA
19(R)-Hydroxy prostaglandin F2α,1.592_370.23581_HILIC,L2,C20H34O6,NA,NA,NA,NA
2'-Deoxyinosine,4.429_252.08585_HILIC,L1,C10H12N4O4,cpd:C01344,dIDP;2'-Deoxyinosine-5'-diphosphate;2'-Deoxyinosine 5'-diphosphate,C10H14N4O10P2,Purine metabolism
2'-Deoxyinosine,4.429_252.08585_HILIC,L1,C10H12N4O4,cpd:C01344,dIDP;2'-Deoxyinosine-5'-diphosphate;2'-Deoxyinosine 5'-diphosphate,C10H14N4O10P2,Nucleotide metabolism
"2-({4-[4-(2,4-dimethoxy-6-methylbenzoyloxy)-2-methyl-6-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}benzoyloxy]-2-hydroxy-6-methylphenyl}formamido)propanoic acid",14.537_729.21725_HILIC,L3,C35H39NO16,NA,NA,NA,NA
"2-({4-[4-(2,4-dimethoxy-6-methylbenzoyloxy)-2-methyl-6-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}benzoyloxy]-2-hydroxy-6-methylphenyl}formamido)propanoic acid",14.954_729.21735_HILIC,L3,C35H39NO16,NA,NA,NA,NA
"2-({4-[4-(2,4-dimethoxy-6-methylbenzoyloxy)-2-methyl-6-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}benzoyloxy]-2-hydroxy-6-methylphenyl}formamido)propanoic acid",15.127_729.21732_HILIC,L3,C35H39NO16,NA,NA,NA,NA
2-(6-Hydroxyhexyl)-3-methylenesuccinic acid,3.682_230.11534_HILIC,L2,C11H18O5,NA,NA,NA,NA
2-(6-Hydroxyhexyl)-3-methylenesuccinic acid,3.567_230.11533_HILIC,L2,C11H18O5,NA,NA,NA,NA
2-[[2-[(2-amino-3-methylbutanoyl)amino]-4-carboxybutanoyl]amino]-4-methylpentanoic acid,9.787_359.20592_HILIC,L3,C16H29N3O6,NA,NA,NA,NA
2-[[4-(2-carboxyprop-2-enyl)cyclohexyl]methyl]prop-2-enoic acid,1.334_252.13616_HILIC,L3,C14H20O4,NA,NA,NA,NA
"2-Dodecenedioic acid, 4-oxo-",2.512_242.1154_HILIC,L3,C12H18O5,NA,NA,NA,NA
2-hydroxypentadecanoate,1.306_258.21952_HILIC,L3,C15H30O3,NA,NA,NA,NA
2-methylidenedecanedioic acid,1.39_214.12038_HILIC,L3,C11H18O4,NA,NA,NA,NA
2-methylidenedecanedioic acid,1.34_214.12039_HILIC,L3,C11H18O4,NA,NA,NA,NA
2-phenyl-5-(phenylsulfonyl)-4-pyrimidinol,4.003_312.05715_HILIC,L3,C16H12N2O3S,NA,NA,NA,NA
"2,3-Dinor prostaglandin E1",1.354_326.20952_HILIC,L2,C18H30O5,NA,NA,NA,NA
"2,3-Dinor prostaglandin E1",1.513_308.1989_HILIC,L2,C18H30O5,NA,NA,NA,NA
"2,3-Dinor prostaglandin E1",1.204_308.19893_HILIC,L2,C18H30O5,NA,NA,NA,NA
"2,4-Bis(2-phenyl-2-propanyl)phenol",1.672_330.20462_HILIC,L3,C24H26O,NA,NA,NA,NA
"2,4-Tetradecadienedioicacid, 12-hydroxy-13-(hydroxymethyl)-3,5,7-trimethyl- (9CI)",1.692_342.20438_HILIC,L3,C18H30O6,NA,NA,NA,NA
2′-Deoxyguanosine,6.807_267.09688_HILIC,L1,C10H13N5O4,NA,NA,NA,NA
"20-Hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoic acid",1.124_320.2353_HILIC,L2,C20H32O3,NA,NA,NA,NA
"3-[2-(1,3-Benzodioxol-5-yl)-7-methoxy-1-benzofuran-5-yl]-3-hydroxypropyl hexopyranoside",12.791_504.1693_HILIC,L3,C25H28O11,NA,NA,NA,NA
"3-[2-(1,3-Benzodioxol-5-yl)-7-methoxy-1-benzofuran-5-yl]-3-hydroxypropyl hexopyranoside",13.094_504.1693_HILIC,L3,C25H28O11,NA,NA,NA,NA
"3-[2-(1,3-Benzodioxol-5-yl)-7-methoxy-1-benzofuran-5-yl]-3-hydroxypropyl hexopyranoside",13.351_504.16934_HILIC,L3,C25H28O11,NA,NA,NA,NA
"3-[2-(1,3-Benzodioxol-5-yl)-7-methoxy-1-benzofuran-5-yl]-3-hydroxypropyl hexopyranoside",14.307_550.17484_HILIC,L2,C25H28O11,NA,NA,NA,NA
"3-[2-(1,3-Benzodioxol-5-yl)-7-methoxy-1-benzofuran-5-yl]-3-hydroxypropyl hexopyranoside",13.393_550.17481_HILIC,L2,C25H28O11,NA,NA,NA,NA
"3-[2-(1,3-Benzodioxol-5-yl)-7-methoxy-1-benzofuran-5-yl]-3-hydroxypropyl hexopyranoside",13.441_504.16933_HILIC,L3,C25H28O11,NA,NA,NA,NA
3-hydroxybutyric acid,2.236_104.04733_HILIC,L1,C4H8O3,cpd:C00188,L-Threonine;2-Amino-3-hydroxybutyric acid,C4H9NO3,"Glycine, serine and threonine metabolism"
3-hydroxybutyric acid,2.236_104.04733_HILIC,L1,C4H8O3,cpd:C00188,L-Threonine;2-Amino-3-hydroxybutyric acid,C4H9NO3,Monobactam biosynthesis
3-hydroxybutyric acid,2.236_104.04733_HILIC,L1,C4H8O3,cpd:C00188,L-Threonine;2-Amino-3-hydroxybutyric acid,C4H9NO3,"Valine, leucine and isoleucine biosynthesis"
3-hydroxybutyric acid,2.236_104.04733_HILIC,L1,C4H8O3,cpd:C00188,L-Threonine;2-Amino-3-hydroxybutyric acid,C4H9NO3,D-Amino acid metabolism
3-hydroxybutyric acid,2.236_104.04733_HILIC,L1,C4H8O3,cpd:C00188,L-Threonine;2-Amino-3-hydroxybutyric acid,C4H9NO3,Porphyrin metabolism
3-hydroxybutyric acid,2.236_104.04733_HILIC,L1,C4H8O3,cpd:C00188,L-Threonine;2-Amino-3-hydroxybutyric acid,C4H9NO3,Aminoacyl-tRNA biosynthesis
3-hydroxybutyric acid,2.236_104.04733_HILIC,L1,C4H8O3,cpd:C00188,L-Threonine;2-Amino-3-hydroxybutyric acid,C4H9NO3,Biosynthesis of plant secondary metabolites
3-hydroxybutyric acid,2.236_104.04733_HILIC,L1,C4H8O3,cpd:C00188,L-Threonine;2-Amino-3-hydroxybutyric acid,C4H9NO3,Metabolic pathways
3-hydroxybutyric acid,2.236_104.04733_HILIC,L1,C4H8O3,cpd:C00188,L-Threonine;2-Amino-3-hydroxybutyric acid,C4H9NO3,Biosynthesis of secondary metabolites
3-hydroxybutyric acid,2.236_104.04733_HILIC,L1,C4H8O3,cpd:C00188,L-Threonine;2-Amino-3-hydroxybutyric acid,C4H9NO3,Microbial metabolism in diverse environments
3-hydroxybutyric acid,2.236_104.04733_HILIC,L1,C4H8O3,cpd:C00188,L-Threonine;2-Amino-3-hydroxybutyric acid,C4H9NO3,Biosynthesis of amino acids
3-hydroxybutyric acid,2.236_104.04733_HILIC,L1,C4H8O3,cpd:C00188,L-Threonine;2-Amino-3-hydroxybutyric acid,C4H9NO3,ABC transporters
3-hydroxybutyric acid,2.236_104.04733_HILIC,L1,C4H8O3,cpd:C00188,L-Threonine;2-Amino-3-hydroxybutyric acid,C4H9NO3,Protein digestion and absorption
3-hydroxybutyric acid,2.236_104.04733_HILIC,L1,C4H8O3,cpd:C00188,L-Threonine;2-Amino-3-hydroxybutyric acid,C4H9NO3,Mineral absorption
3-Hydroxydodecanedioate,1.239_246.1467_HILIC,L3,C12H22O5,NA,NA,NA,NA
3-Hydroxyisovalerate,1.838_118.06303_HILIC,L3,C5H10O3,cpd:C04181,3-Hydroxy-3-methyl-2-oxobutanoic acid;3-Hydroxy-3-methyl-2-oxobutanoate;2-Oxo-3-hydroxyisovalerate,C5H8O4,"Valine, leucine and isoleucine biosynthesis"
3-Hydroxyisovalerate,1.838_118.06303_HILIC,L3,C5H10O3,cpd:C04181,3-Hydroxy-3-methyl-2-oxobutanoic acid;3-Hydroxy-3-methyl-2-oxobutanoate;2-Oxo-3-hydroxyisovalerate,C5H8O4,Biosynthesis of secondary metabolites
3-Hydroxyisovalerate,1.838_118.06303_HILIC,L3,C5H10O3,cpd:C04181,3-Hydroxy-3-methyl-2-oxobutanoic acid;3-Hydroxy-3-methyl-2-oxobutanoate;2-Oxo-3-hydroxyisovalerate,C5H8O4,2-Oxocarboxylic acid metabolism
3-Hydroxyvaleric acid,1.935_118.06302_HILIC,L2,C5H10O3,NA,NA,NA,NA
"3,8,9-trihydroxy-10-propyl-3,4,5,8,9,10-hexahydro-2H-oxecin-2-one",1.709_244.13105_HILIC,L2,C12H20O5,NA,NA,NA,NA
"3,8,9-trihydroxy-10-propyl-3,4,5,8,9,10-hexahydro-2H-oxecin-2-one",1.489_244.13102_HILIC,L2,C12H20O5,NA,NA,NA,NA
4-amino-3-pyridinesulfonic acid,11.851_174.00988_HILIC,L3,C5H6N2O3S,NA,NA,NA,NA
4-Ethoxycinnamic Acid,3.003_192.08053_HILIC,L3,C11H12O3,NA,NA,NA,NA
4-Hydroxybenzaldehyde,1.218_122.03681_HILIC,L1,C7H6O2,cpd:C00633,4-Hydroxybenzaldehyde;p-Hydroxybenzaldehyde,C7H6O2,Bisphenol degradation
4-Hydroxybenzaldehyde,1.218_122.03681_HILIC,L1,C7H6O2,cpd:C00633,4-Hydroxybenzaldehyde;p-Hydroxybenzaldehyde,C7H6O2,Toluene degradation
4-Hydroxybenzaldehyde,1.218_122.03681_HILIC,L1,C7H6O2,cpd:C00633,4-Hydroxybenzaldehyde;p-Hydroxybenzaldehyde,C7H6O2,Aminobenzoate degradation
4-Hydroxybenzaldehyde,1.218_122.03681_HILIC,L1,C7H6O2,cpd:C00633,4-Hydroxybenzaldehyde;p-Hydroxybenzaldehyde,C7H6O2,Biosynthesis of phenylpropanoids
4-Hydroxybenzaldehyde,1.218_122.03681_HILIC,L1,C7H6O2,cpd:C00633,4-Hydroxybenzaldehyde;p-Hydroxybenzaldehyde,C7H6O2,Metabolic pathways
4-Hydroxybenzaldehyde,1.218_122.03681_HILIC,L1,C7H6O2,cpd:C00633,4-Hydroxybenzaldehyde;p-Hydroxybenzaldehyde,C7H6O2,Microbial metabolism in diverse environments
4-Indolecarbaldehyde,1.209_145.05279_HILIC,L2,C9H7NO,NA,NA,NA,NA
4-Nitrocatechol sulfate,3.361_234.97967_HILIC,L2,C6H5NO7S,NA,NA,NA,NA
"4,7-bis(ethenyl)-2-ethyloctanedioic acid",1.354_254.15183_HILIC,L3,C14H22O4,NA,NA,NA,NA
"5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolane-2-carboxylic acid",10.594_258.04887_HILIC,L3,C9H10N2O7,NA,NA,NA,NA
"5-(4-aminophenyl)-N-[2-(trifluoromethyl)phenyl]-1,3,4-thiadiazol-2-amine",12.073_336.06966_HILIC,L3,C15H11F3N4S,NA,NA,NA,NA
"5-[(1S,2R,4aR)-5-(Hydroxymethyl)-1,2,4a-trimethyl-1,2,3,4,4a,7,8,8a-octahydro-1-naphthalenyl]-3-methylpentanoic acid",1.12_322.25118_HILIC,L2,C20H34O3,NA,NA,NA,NA
"5-[(2,5-dichloro-3-thienyl)carbonyl]-4-methyl-1,3,4,5-tetrahydro-2H-1,5-benzodiazepin-2-one",1.124_353.9965_HILIC,L3,C15H12Cl2N2O2S,NA,NA,NA,NA
"6-aminoheptane-1,2,3,4,5-pentol",4.795_195.11071_HILIC,L3,C7H17NO5,NA,NA,NA,NA
6-Hydroxydodecanedioic acid,1.679_246.14669_HILIC,L3,C12H22O5,NA,NA,NA,NA
6-Hydroxydodecanedioic acid,1.586_246.14669_HILIC,L3,C12H22O5,NA,NA,NA,NA
6α-Prostaglandin I1,1.355_354.24079_HILIC,L2,C20H34O5,NA,NA,NA,NA
7-oxotetradecanedioic Acid,1.362_272.16237_HILIC,L3,C14H24O5,NA,NA,NA,NA
7-oxotetradecanedioic Acid,1.589_272.16243_HILIC,L3,C14H24O5,NA,NA,NA,NA
7-oxotetradecanedioic Acid,1.424_272.1624_HILIC,L3,C14H24O5,NA,NA,NA,NA
"8,9-dihydroxy stearic acid",1.189_316.26159_HILIC,L3,C18H36O4,NA,NA,NA,NA
"9-oxo-12,13-dihydroxy-10E,15Z-octadecadienoic acid",1.225_326.20955_HILIC,L3,C18H30O5,NA,NA,NA,NA
"9,16-dihydroxy-palmitic acid",1.224_288.23015_HILIC,L3,C16H32O4,NA,NA,NA,NA
"9,16-Dioxo-10,12,14-octadecatrienoic acid",1.166_306.18331_HILIC,L3,C18H26O4,NA,NA,NA,NA
Adenine,3.364_135.05454_HILIC,L1,C5H5N5,cpd:C00003,NAD+;NAD;Nicotinamide adenine dinucleotide;DPN;Diphosphopyridine nucleotide;Nadide;beta-NAD+,C21H28N7O14P2,Oxidative phosphorylation
Adenine,3.364_135.05454_HILIC,L1,C5H5N5,cpd:C00003,NAD+;NAD;Nicotinamide adenine dinucleotide;DPN;Diphosphopyridine nucleotide;Nadide;beta-NAD+,C21H28N7O14P2,Thiamine metabolism
Adenine,3.364_135.05454_HILIC,L1,C5H5N5,cpd:C00003,NAD+;NAD;Nicotinamide adenine dinucleotide;DPN;Diphosphopyridine nucleotide;Nadide;beta-NAD+,C21H28N7O14P2,Nicotinate and nicotinamide metabolism
Adenine,3.364_135.05454_HILIC,L1,C5H5N5,cpd:C00003,NAD+;NAD;Nicotinamide adenine dinucleotide;DPN;Diphosphopyridine nucleotide;Nadide;beta-NAD+,C21H28N7O14P2,Drug metabolism - other enzymes
Adenine,3.364_135.05454_HILIC,L1,C5H5N5,cpd:C00003,NAD+;NAD;Nicotinamide adenine dinucleotide;DPN;Diphosphopyridine nucleotide;Nadide;beta-NAD+,C21H28N7O14P2,Metabolic pathways
Adenine,3.364_135.05454_HILIC,L1,C5H5N5,cpd:C00003,NAD+;NAD;Nicotinamide adenine dinucleotide;DPN;Diphosphopyridine nucleotide;Nadide;beta-NAD+,C21H28N7O14P2,Biosynthesis of cofactors
Adenine,3.364_135.05454_HILIC,L1,C5H5N5,cpd:C00003,NAD+;NAD;Nicotinamide adenine dinucleotide;DPN;Diphosphopyridine nucleotide;Nadide;beta-NAD+,C21H28N7O14P2,Efferocytosis
Adenine,3.364_135.05454_HILIC,L1,C5H5N5,cpd:C00003,NAD+;NAD;Nicotinamide adenine dinucleotide;DPN;Diphosphopyridine nucleotide;Nadide;beta-NAD+,C21H28N7O14P2,AMPK signaling pathway
Adenine,3.364_135.05454_HILIC,L1,C5H5N5,cpd:C00003,NAD+;NAD;Nicotinamide adenine dinucleotide;DPN;Diphosphopyridine nucleotide;Nadide;beta-NAD+,C21H28N7O14P2,Longevity regulating pathway
Adenine,3.364_135.05454_HILIC,L1,C5H5N5,cpd:C00003,NAD+;NAD;Nicotinamide adenine dinucleotide;DPN;Diphosphopyridine nucleotide;Nadide;beta-NAD+,C21H28N7O14P2,Longevity regulating pathway - worm
Adenine,3.364_135.05454_HILIC,L1,C5H5N5,cpd:C00003,NAD+;NAD;Nicotinamide adenine dinucleotide;DPN;Diphosphopyridine nucleotide;Nadide;beta-NAD+,C21H28N7O14P2,Aldosterone synthesis and secretion
Adenine,3.364_135.05454_HILIC,L1,C5H5N5,cpd:C00003,NAD+;NAD;Nicotinamide adenine dinucleotide;DPN;Diphosphopyridine nucleotide;Nadide;beta-NAD+,C21H28N7O14P2,Alcoholic liver disease
Adenine,3.364_135.05454_HILIC,L1,C5H5N5,cpd:C00003,NAD+;NAD;Nicotinamide adenine dinucleotide;DPN;Diphosphopyridine nucleotide;Nadide;beta-NAD+,C21H28N7O14P2,Vitamin digestion and absorption
Adenine,3.364_135.05454_HILIC,L1,C5H5N5,cpd:C00003,NAD+;NAD;Nicotinamide adenine dinucleotide;DPN;Diphosphopyridine nucleotide;Nadide;beta-NAD+,C21H28N7O14P2,Chemical carcinogenesis - reactive oxygen species
Adipic acid,2.092_146.05793_HILIC,L1,C6H10O4,cpd:C00322,2-Oxoadipate;2-Oxoadipic acid;2-Oxohexanedioic acid,C6H8O5,Lysine biosynthesis
